客户ID,优先级,流失概率,在网月数,合约类型,月费,历史总消费,上网服务,支付方式,在线安全,技术支持,在线备份,流媒体电视,流媒体电影,老年人,有伴侣,有子女,性别,电子账单
8065-YKXKD,P2-Very High,82.4%,10,Month-to-month,74.75,799.65,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,Yes
3440-JPSCL,P2-Very High,82.4%,6,Month-to-month,99.95,547.65,Fiber optic,Mailed check,No,Yes,No,Yes,Yes,0,No,No,Female,Yes
8634-MPHTR,P2-Very High,82.4%,47,Month-to-month,100.05,4871.05,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,Yes,No,Male,Yes
0519-XUZJU,P2-Very High,82.4%,1,Month-to-month,70.75,70.75,Fiber optic,Mailed check,No,No,No,No,No,0,No,No,Female,No
6390-DSAZX,P2-Very High,82.3%,1,Month-to-month,73.6,73.6,Fiber optic,Mailed check,Yes,No,No,No,No,0,No,Yes,Female,Yes
5271-DBYSJ,P2-Very High,82.3%,11,Month-to-month,79.15,827.7,Fiber optic,Credit card (automatic),No,No,No,No,Yes,1,No,No,Male,Yes
7442-YGZFK,P2-Very High,82.3%,1,Month-to-month,49.8,49.8,DSL,Credit card (automatic),No,No,No,No,No,0,No,No,Male,Yes
7354-OIJLX,P2-Very High,82.3%,9,Month-to-month,75.85,724.65,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
3050-GBUSH,P2-Very High,82.3%,3,Month-to-month,34.8,113.95,DSL,Credit card (automatic),No,No,No,Yes,No,0,No,No,Female,Yes
4433-JCGCG,P2-Very High,82.3%,46,Month-to-month,101.0,4680.05,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,Yes,No,Male,Yes
7240-ETPTR,P2-Very High,82.3%,9,Month-to-month,48.75,442.2,DSL,Electronic check,No,No,No,Yes,Yes,0,Yes,No,Female,Yes
7394-FKDNK,P2-Very High,82.3%,9,Month-to-month,89.45,853.1,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,Yes,No,Female,No
8443-WVPSS,P2-Very High,82.3%,10,Month-to-month,99.85,990.9,Fiber optic,Electronic check,No,Yes,Yes,Yes,Yes,0,Yes,No,Male,Yes
4074-SJFFA,P2-Very High,82.3%,1,Month-to-month,54.75,54.75,DSL,Mailed check,No,No,No,No,Yes,0,No,No,Female,Yes
2824-MYYBN,P2-Very High,82.2%,37,Month-to-month,95.25,3314.15,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,Yes,Yes,Female,Yes
4816-JBHOV,P2-Very High,82.2%,2,Month-to-month,44.7,93.7,DSL,Electronic check,No,No,No,No,No,1,No,No,Male,Yes
0151-ONTOV,P2-Very High,82.2%,1,Month-to-month,70.9,70.9,Fiber optic,Mailed check,No,No,No,No,No,0,No,No,Female,No
1907-UBQFC,P2-Very High,82.2%,10,Month-to-month,72.85,688.65,Fiber optic,Electronic check,No,No,Yes,No,No,1,No,No,Male,Yes
6137-NICCO,P2-Very High,82.2%,6,Month-to-month,94.05,518.75,Fiber optic,Mailed check,No,No,Yes,Yes,No,0,Yes,Yes,Female,Yes
2430-USGXP,P2-Very High,82.2%,24,Month-to-month,101.05,2391.8,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,Yes,No,Male,Yes
0793-TWELN,P2-Very High,82.2%,4,Month-to-month,80.15,319.85,Fiber optic,Electronic check,Yes,No,No,No,No,0,No,No,Female,Yes
4929-BSTRX,P2-Very High,82.2%,1,Month-to-month,53.55,53.55,DSL,Mailed check,No,No,No,Yes,No,0,No,No,Female,Yes
7295-JOMMD,P2-Very High,82.1%,4,Month-to-month,98.1,396.3,Fiber optic,Bank transfer (automatic),No,Yes,No,Yes,Yes,0,No,Yes,Female,Yes
9330-IJWIO,P2-Very High,82.1%,13,Month-to-month,100.35,1358.85,Fiber optic,Electronic check,Yes,No,No,Yes,Yes,0,No,No,Female,Yes
4597-NUCQV,P2-Very High,82.1%,24,Month-to-month,101.25,2440.15,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,1,No,No,Male,Yes
3904-UKFRE,P2-Very High,82.1%,4,Month-to-month,80.1,336.15,Fiber optic,Electronic check,Yes,No,No,No,No,0,No,No,Male,Yes
7780-OTDSO,P2-Very High,82.1%,18,Month-to-month,99.4,1742.95,Fiber optic,Electronic check,Yes,No,No,Yes,Yes,0,Yes,No,Male,Yes
6646-VRFOL,P2-Very High,82.1%,53,Month-to-month,103.85,5485.5,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,1,Yes,No,Male,Yes
3254-YRILK,P2-Very High,82.0%,19,Month-to-month,88.2,1775.8,Fiber optic,Electronic check,No,No,Yes,Yes,No,1,No,No,Male,Yes
6778-YSNIH,P2-Very High,82.0%,2,Month-to-month,59.0,114.15,DSL,Electronic check,No,No,Yes,Yes,No,0,No,No,Female,Yes
9685-WKZGT,P2-Very High,82.0%,14,Month-to-month,74.95,1036.75,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Male,Yes
8040-MNRTF,P2-Very High,82.0%,1,Month-to-month,71.1,71.1,Fiber optic,Mailed check,No,No,No,No,No,0,No,No,Female,No
0511-JTEOY,P2-Very High,82.0%,1,Month-to-month,71.1,71.1,Fiber optic,Mailed check,No,No,No,No,No,0,No,No,Female,No
1219-NNDDO,P2-Very High,82.0%,9,Month-to-month,76.85,663.55,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,Yes
4184-TJFAN,P2-Very High,82.0%,3,Month-to-month,88.3,273.75,Fiber optic,Mailed check,Yes,Yes,No,Yes,No,1,Yes,Yes,Female,Yes
3908-BLSYF,P2-Very High,82.0%,6,Month-to-month,83.9,497.55,Fiber optic,Electronic check,No,No,No,No,Yes,0,No,No,Female,No
9136-ALYBR,P2-Very High,82.0%,1,Month-to-month,24.45,24.45,DSL,Mailed check,No,No,No,No,No,0,No,No,Male,Yes
6215-NQCPY,P2-Very High,82.0%,15,Month-to-month,99.7,1566.75,Fiber optic,Electronic check,Yes,No,No,Yes,Yes,0,No,No,Male,Yes
2876-GZYZC,P2-Very High,81.9%,13,Month-to-month,85.95,1215.65,Fiber optic,Electronic check,No,No,No,No,Yes,0,No,No,Female,Yes
6502-HCJTI,P2-Very High,81.9%,7,Month-to-month,94.7,673.1,Fiber optic,Credit card (automatic),Yes,No,Yes,No,Yes,1,Yes,No,Male,Yes
6338-AVWCY,P2-Very High,81.9%,3,Month-to-month,40.15,130.75,DSL,Mailed check,No,No,No,Yes,No,0,No,No,Male,Yes
7137-RYLPP,P2-Very High,81.8%,37,Month-to-month,85.7,3171.15,Fiber optic,Electronic check,No,No,No,Yes,No,1,Yes,No,Male,Yes
5600-KTXFM,P2-Very High,81.8%,2,Month-to-month,69.95,143.9,Fiber optic,Mailed check,No,No,No,No,No,0,Yes,Yes,Male,No
5244-IRFIH,P2-Very High,81.7%,33,Month-to-month,94.5,3105.55,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,Yes,No,Male,Yes
6629-CZTTH,P2-Very High,81.7%,1,Month-to-month,55.7,55.7,DSL,Mailed check,No,No,No,No,Yes,0,No,No,Male,Yes
3585-ISXZP,P2-Very High,81.7%,8,Month-to-month,95.65,778.1,Fiber optic,Bank transfer (automatic),No,No,No,Yes,Yes,0,No,No,Female,No
8861-HGGKB,P2-Very High,81.6%,10,Month-to-month,86.45,830.85,Fiber optic,Electronic check,No,No,No,No,Yes,0,No,No,Female,No
5144-TVGLP,P2-Very High,81.6%,38,Month-to-month,94.75,3653.0,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,No,No,Male,No
9643-AVVWI,P2-Very High,81.6%,3,Month-to-month,80.0,241.3,Fiber optic,Electronic check,No,Yes,Yes,No,No,0,Yes,Yes,Female,Yes
6432-TWQLB,P2-Very High,81.6%,5,Month-to-month,85.4,401.1,Fiber optic,Electronic check,No,Yes,Yes,No,No,0,Yes,No,Male,Yes
1184-PJVDB,P2-Very High,81.6%,10,Month-to-month,79.95,857.2,Fiber optic,Electronic check,No,No,No,Yes,No,0,Yes,No,Male,Yes
4039-HEUNW,P2-Very High,81.6%,36,Month-to-month,96.5,3436.1,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,1,Yes,No,Male,Yes
4349-GFQHK,P2-Very High,81.6%,1,Month-to-month,54.35,54.35,DSL,Electronic check,No,No,No,No,No,0,No,No,Male,No
2665-NPTGL,P2-Very High,81.6%,26,Month-to-month,98.1,2510.7,Fiber optic,Bank transfer (automatic),No,No,No,Yes,Yes,1,Yes,No,Female,Yes
2272-QAGFO,P2-Very High,81.5%,14,Month-to-month,74.3,1096.25,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Female,Yes
7028-DVOIQ,P2-Very High,81.5%,35,Month-to-month,99.05,3395.8,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,No,No,Male,Yes
9846-GKXAS,P2-Very High,81.5%,9,Month-to-month,90.8,809.75,Fiber optic,Bank transfer (automatic),No,No,No,Yes,Yes,0,No,No,Female,Yes
8903-XEBGX,P2-Very High,81.5%,2,Month-to-month,55.3,108.65,DSL,Electronic check,No,No,No,No,Yes,0,No,Yes,Male,Yes
2357-COQEK,P2-Very High,81.4%,28,Month-to-month,103.3,2890.65,Fiber optic,Electronic check,No,Yes,No,Yes,Yes,1,No,No,Female,Yes
3334-CTHOL,P2-Very High,81.4%,1,Month-to-month,49.95,49.95,DSL,Bank transfer (automatic),No,No,No,No,No,0,No,No,Female,Yes
8374-XGEJJ,P2-Very High,81.4%,43,Month-to-month,101.0,4388.4,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,1,Yes,No,Male,Yes
0402-CQAJN,P2-Very High,81.4%,37,Month-to-month,101.9,3545.35,Fiber optic,Bank transfer (automatic),No,No,Yes,Yes,Yes,0,No,No,Female,Yes
7508-MYBOG,P2-Very High,81.4%,14,Month-to-month,86.1,1235.55,Fiber optic,Electronic check,No,No,No,Yes,No,0,Yes,No,Male,Yes
3249-ZPQRG,P2-Very High,81.4%,4,Month-to-month,78.45,330.05,Fiber optic,Electronic check,No,No,Yes,No,No,0,No,No,Male,No
4855-SNKMY,P2-Very High,81.4%,1,Month-to-month,44.1,44.1,DSL,Electronic check,No,No,No,No,No,0,No,No,Female,Yes
2832-KJCRD,P2-Very High,81.4%,38,Month-to-month,103.65,3988.5,Fiber optic,Electronic check,No,Yes,No,Yes,Yes,0,No,No,Female,Yes
8313-NDOIA,P2-Very High,81.4%,24,Month-to-month,104.15,2494.65,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,0,No,No,Female,Yes
4884-ZTHVF,P2-Very High,81.4%,8,Month-to-month,87.1,713.6,Fiber optic,Electronic check,No,No,Yes,Yes,No,1,No,No,Female,Yes
5628-FCGYG,P2-Very High,81.4%,21,Month-to-month,84.1,1737.45,Fiber optic,Electronic check,No,No,No,No,Yes,0,No,No,Male,Yes
0946-CLJTI,P2-Very High,81.3%,58,Month-to-month,98.7,5812.6,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,Yes,No,Male,Yes
0875-CABNR,P2-Very High,81.3%,10,Month-to-month,84.6,865.55,Fiber optic,Credit card (automatic),No,No,No,No,Yes,1,No,No,Female,Yes
3538-WZPHD,P2-Very High,81.3%,3,Month-to-month,29.6,79.45,DSL,Electronic check,No,No,Yes,No,No,0,No,No,Male,Yes
2575-GFSOE,P2-Very High,81.3%,7,Month-to-month,69.0,506.9,Fiber optic,Electronic check,No,No,No,No,No,0,Yes,Yes,Female,Yes
4749-VFKVB,P2-Very High,81.3%,1,Month-to-month,50.1,50.1,DSL,Mailed check,No,No,No,No,No,0,No,No,Female,Yes
6127-ISGTU,P2-Very High,81.3%,16,Month-to-month,84.95,1378.25,Fiber optic,Electronic check,No,No,No,Yes,No,0,Yes,No,Female,Yes
2107-FBPTK,P2-Very High,81.3%,30,Month-to-month,104.1,3121.1,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,1,No,No,Female,Yes
8625-AZYZY,P2-Very High,81.3%,24,Month-to-month,104.65,2542.45,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,0,Yes,No,Male,Yes
1196-AMORA,P2-Very High,81.2%,7,Month-to-month,73.6,520.0,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,No
1475-VWVDO,P2-Very High,81.2%,7,Month-to-month,74.9,490.55,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
5940-NFXKV,P2-Very High,81.2%,19,Month-to-month,83.65,1465.75,Fiber optic,Electronic check,No,No,No,No,Yes,0,Yes,Yes,Male,Yes
8818-DOPVL,P2-Very High,81.2%,46,Month-to-month,104.45,4863.85,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,1,No,No,Female,Yes
0147-ESWWR,P2-Very High,81.2%,39,Month-to-month,101.25,3949.15,Fiber optic,Electronic check,No,Yes,No,Yes,Yes,1,Yes,No,Female,Yes
4484-CGXFK,P2-Very High,81.2%,3,Month-to-month,55.3,196.15,DSL,Electronic check,No,No,No,No,Yes,0,No,No,Female,Yes
0871-URUWO,P2-Very High,81.2%,13,Month-to-month,102.25,1359.0,Fiber optic,Credit card (automatic),No,No,No,Yes,Yes,0,Yes,No,Male,Yes
5366-IJEQJ,P2-Very High,81.1%,20,Month-to-month,88.7,1761.45,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Male,Yes
2482-CZGBB,P2-Very High,81.1%,10,Month-to-month,70.0,740.0,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
8481-YYXWG,P2-Very High,81.1%,5,Month-to-month,89.35,461.7,Fiber optic,Electronic check,No,Yes,Yes,No,Yes,0,No,No,Female,Yes
4373-VVHQL,P2-Very High,81.1%,1,Month-to-month,44.75,44.75,DSL,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
4385-GZQXV,P2-Very High,81.1%,16,Month-to-month,94.45,1511.2,Fiber optic,Electronic check,No,Yes,No,Yes,Yes,1,No,No,Female,Yes
8705-WZCYL,P2-Very High,81.1%,1,Month-to-month,44.8,44.8,DSL,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
1342-JPNKI,P2-Very High,81.1%,10,Month-to-month,86.05,834.1,Fiber optic,Bank transfer (automatic),No,No,No,Yes,No,0,No,No,Male,Yes
4367-NHWMM,P2-Very High,81.0%,1,Month-to-month,24.9,24.9,DSL,Mailed check,No,No,No,No,No,0,No,No,Female,Yes
3074-GQWYX,P2-Very High,81.0%,5,Month-to-month,75.9,357.75,Fiber optic,Bank transfer (automatic),No,No,No,No,No,0,No,No,Male,Yes
4741-WWJQZ,P2-Very High,81.0%,2,Month-to-month,80.15,194.55,Fiber optic,Electronic check,Yes,Yes,No,No,No,0,Yes,No,Female,Yes
3717-OEAUQ,P2-Very High,80.9%,2,Month-to-month,70.7,129.2,Fiber optic,Mailed check,No,No,No,No,No,0,No,No,Male,No
4351-QLCSU,P2-Very High,80.9%,1,Month-to-month,55.0,55.0,DSL,Credit card (automatic),No,No,No,Yes,No,0,No,No,Female,Yes
3317-HRTNN,P2-Very High,80.9%,5,Month-to-month,45.7,198.0,DSL,Electronic check,No,No,No,Yes,Yes,1,No,No,Female,No
9796-BPKIW,P2-Very High,80.9%,8,Month-to-month,69.95,562.7,Fiber optic,Credit card (automatic),No,No,No,No,No,1,No,No,Male,Yes
5923-GXUOC,P2-Very High,80.8%,10,Month-to-month,104.4,1081.45,Fiber optic,Electronic check,Yes,No,Yes,Yes,Yes,0,No,No,Male,Yes
9851-QXEEQ,P2-Very High,80.8%,41,Month-to-month,104.7,4346.4,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,0,No,No,Male,Yes
6032-IGALN,P2-Very High,80.8%,1,Month-to-month,25.1,25.1,DSL,Mailed check,No,No,No,No,No,0,No,No,Female,Yes
5364-XYIRR,P2-Very High,80.8%,51,Month-to-month,94.65,4812.75,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,Yes,No,Male,Yes
7089-IVVAZ,P2-Very High,80.8%,8,Month-to-month,103.35,847.3,Fiber optic,Bank transfer (automatic),Yes,Yes,No,Yes,Yes,0,No,No,Female,Yes
2034-CGRHZ,P2-Very High,80.8%,24,Month-to-month,102.95,2496.7,Fiber optic,Credit card (automatic),No,No,Yes,Yes,Yes,1,No,No,Male,Yes
7537-RBWEA,P2-Very High,80.8%,1,Month-to-month,25.15,25.15,DSL,Mailed check,No,No,No,No,No,0,No,No,Female,Yes
3488-PGMQJ,P2-Very High,80.7%,8,Month-to-month,74.5,606.55,Fiber optic,Electronic check,No,No,Yes,No,No,1,No,No,Male,Yes
8356-WUAOJ,P2-Very High,80.7%,1,Month-to-month,45.0,45.0,DSL,Electronic check,No,No,No,No,No,0,Yes,No,Female,Yes
7851-FLGGQ,P2-Very High,80.7%,1,Month-to-month,44.65,44.65,DSL,Mailed check,No,Yes,Yes,No,Yes,0,No,No,Male,Yes
3071-VBYPO,P2-Very High,80.7%,3,Month-to-month,89.85,248.4,Fiber optic,Electronic check,Yes,No,Yes,Yes,No,0,Yes,Yes,Male,No
7625-XCQRH,P2-Very High,80.6%,11,Month-to-month,76.5,837.95,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,Yes
9279-CJEOJ,P2-Very High,80.6%,21,Month-to-month,95.4,2025.1,Fiber optic,Bank transfer (automatic),No,No,No,Yes,Yes,1,No,No,Female,Yes
1867-BDVFH,P2-Very High,80.6%,11,Month-to-month,74.35,834.2,Fiber optic,Electronic check,No,No,No,No,No,0,Yes,Yes,Male,Yes
3518-PZXZQ,P2-Very High,80.6%,1,Month-to-month,55.3,55.3,DSL,Mailed check,No,No,No,Yes,No,0,Yes,No,Female,Yes
3427-GGZZI,P2-Very High,80.6%,19,Month-to-month,89.1,1620.8,Fiber optic,Electronic check,No,No,Yes,No,Yes,0,Yes,No,Female,Yes
0689-NKYLF,P2-Very High,80.6%,13,Month-to-month,83.2,1060.6,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Male,Yes
3703-VAVCL,P2-Very High,80.6%,2,Month-to-month,90.0,190.05,Fiber optic,Credit card (automatic),No,Yes,No,No,Yes,0,Yes,Yes,Male,No
6608-QQLVK,P2-Very High,80.6%,1,Month-to-month,50.5,50.5,DSL,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
5028-GZLDO,P2-Very High,80.6%,2,Month-to-month,70.7,140.7,Fiber optic,Credit card (automatic),No,No,No,No,No,0,No,No,Male,No
5339-PXDVH,P2-Very High,80.5%,4,Month-to-month,90.65,367.95,Fiber optic,Electronic check,Yes,No,No,Yes,No,0,No,No,Male,No
9638-JIQYA,P2-Very High,80.5%,2,Month-to-month,24.9,49.7,DSL,Credit card (automatic),No,No,No,No,No,0,No,No,Male,Yes
3317-VLGQT,P2-Very High,80.5%,14,Month-to-month,78.1,1122.4,Fiber optic,Electronic check,No,No,No,No,Yes,0,Yes,No,Female,Yes
5117-IFGPS,P2-Very High,80.5%,29,Month-to-month,84.3,2357.75,Fiber optic,Electronic check,No,No,No,No,Yes,1,Yes,No,Male,Yes
7511-YMXVQ,P2-Very High,80.4%,9,Month-to-month,45.4,418.8,DSL,Electronic check,No,No,No,Yes,Yes,0,No,No,Male,Yes
3751-KTZEL,P2-Very High,80.4%,1,Month-to-month,35.05,35.05,DSL,Mailed check,No,No,No,No,Yes,0,No,No,Female,No
6705-LXORM,P2-Very High,80.4%,5,Month-to-month,70.05,302.6,Fiber optic,Electronic check,No,No,No,No,No,1,Yes,No,Female,No
7969-AULMZ,P2-Very High,80.4%,21,Month-to-month,97.35,2119.5,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Female,Yes
1965-AKTSX,P2-Very High,80.4%,14,Month-to-month,78.95,1101.85,Fiber optic,Electronic check,No,No,Yes,No,No,1,No,No,Female,Yes
6507-ZJSUR,P2-Very High,80.4%,23,Month-to-month,90.45,2117.25,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,Yes,No,Male,Yes
6543-XRMYR,P2-Very High,80.3%,30,Month-to-month,99.7,2967.35,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,1,No,No,Female,Yes
5405-ZMYXQ,P2-Very High,80.3%,8,Month-to-month,74.6,548.9,Fiber optic,Credit card (automatic),No,No,No,No,No,0,No,No,Female,Yes
9208-OLGAQ,P2-Very High,80.3%,18,Month-to-month,84.95,1443.65,Fiber optic,Electronic check,No,No,No,No,Yes,1,No,No,Female,Yes
9912-GVSEQ,P2-Very High,80.2%,26,Month-to-month,93.85,2381.55,Fiber optic,Electronic check,No,No,Yes,No,Yes,1,Yes,No,Female,Yes
2025-JKFWI,P2-Very High,80.2%,13,Month-to-month,99.0,1301.7,Fiber optic,Mailed check,No,Yes,No,Yes,Yes,0,No,No,Male,Yes
2082-CEFLT,P2-Very High,80.2%,1,Month-to-month,45.6,45.6,DSL,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
3629-ZNKXA,P2-Very High,80.2%,17,Month-to-month,101.8,1752.45,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,1,No,No,Male,Yes
1602-IJQQE,P2-Very High,80.1%,4,Month-to-month,75.35,338.1,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,No
5480-HPRRX,P2-Very High,80.1%,3,Month-to-month,25.3,77.75,DSL,Electronic check,No,No,No,No,No,1,No,No,Female,No
6518-LGAOV,P2-Very High,80.1%,38,Month-to-month,105.0,4026.4,Fiber optic,Electronic check,No,Yes,No,Yes,Yes,0,Yes,No,Female,Yes
3269-ATYWD,P2-Very High,80.1%,39,Month-to-month,95.65,3759.05,Fiber optic,Bank transfer (automatic),No,No,No,Yes,Yes,1,No,No,Male,Yes
5916-QEWPT,P2-Very High,80.1%,2,Month-to-month,69.0,147.8,DSL,Credit card (automatic),No,No,No,Yes,Yes,0,Yes,No,Female,No
4585-HETAI,P2-Very High,80.1%,4,Month-to-month,73.75,325.45,Fiber optic,Electronic check,No,No,No,No,No,0,Yes,Yes,Female,Yes
9696-RMYBA,P2-Very High,80.1%,5,Month-to-month,80.1,398.55,Fiber optic,Mailed check,No,No,No,Yes,No,0,No,No,Male,Yes
0330-IVZHA,P2-Very High,80.1%,5,Month-to-month,69.95,330.15,Fiber optic,Electronic check,No,No,No,No,No,0,Yes,No,Female,No
1636-NTNCO,P2-Very High,80.1%,4,Month-to-month,50.95,207.35,DSL,Credit card (automatic),No,No,Yes,Yes,Yes,1,No,No,Male,Yes
2135-RXIHG,P2-Very High,80.1%,1,Month-to-month,45.65,45.65,DSL,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
1508-DFXCU,P2-Very High,80.1%,12,Month-to-month,81.45,912.0,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Male,Yes
7517-LDMPS,P2-Very High,80.1%,12,Month-to-month,84.6,1017.35,Fiber optic,Electronic check,No,No,Yes,No,Yes,0,No,No,Female,Yes
2408-WITXK,P2-Very High,80.1%,10,Month-to-month,34.7,329.8,DSL,Electronic check,No,No,No,No,Yes,1,No,No,Female,Yes
5077-DXTCG,P2-Very High,80.0%,1,Month-to-month,45.3,45.3,DSL,Electronic check,No,No,No,No,No,0,No,No,Female,Yes
1268-ASBGA,P2-Very High,80.0%,16,Month-to-month,85.35,1375.15,Fiber optic,Credit card (automatic),No,No,No,No,Yes,1,Yes,No,Female,Yes
2792-LSHWX,P2-Very High,80.0%,1,Month-to-month,83.4,83.4,Fiber optic,Mailed check,Yes,Yes,Yes,No,No,0,No,No,Female,Yes
9227-LUNBG,P3-High,80.0%,1,Month-to-month,24.6,24.6,DSL,Electronic check,No,No,No,No,No,0,No,No,Female,No
6918-UMQCG,P3-High,80.0%,5,Month-to-month,80.2,384.25,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Female,No
3393-FMZPV,P3-High,79.9%,25,Month-to-month,100.25,2387.75,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,0,No,No,Female,Yes
7587-RZNME,P3-High,79.9%,3,Month-to-month,43.3,123.65,DSL,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
4062-HBMOS,P3-High,79.9%,52,Month-to-month,103.05,5364.8,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,0,No,No,Male,Yes
3855-ONCAR,P3-High,79.9%,4,Month-to-month,78.9,299.75,Fiber optic,Mailed check,No,No,No,Yes,No,0,Yes,Yes,Female,Yes
8519-IMDHU,P3-High,79.9%,15,Month-to-month,85.6,1345.55,Fiber optic,Bank transfer (automatic),No,No,No,No,Yes,1,Yes,No,Male,Yes
7206-PQBBZ,P3-High,79.8%,11,Month-to-month,70.2,834.7,Fiber optic,Electronic check,No,No,No,No,No,1,Yes,No,Male,Yes
5519-YLDGW,P3-High,79.8%,21,Month-to-month,103.9,2254.2,Fiber optic,Electronic check,Yes,No,No,Yes,Yes,0,Yes,No,Female,Yes
6851-WEFYX,P3-High,79.8%,35,Month-to-month,100.8,3437.5,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,Yes,No,Male,Yes
7901-TBKJX,P3-High,79.8%,56,Month-to-month,101.05,5594.0,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,No,No,Male,Yes
2786-GCDPI,P3-High,79.8%,50,Month-to-month,104.95,5222.35,Fiber optic,Electronic check,No,Yes,No,Yes,Yes,1,No,No,Female,Yes
7072-MBHEV,P3-High,79.7%,11,Month-to-month,78.1,864.85,Fiber optic,Credit card (automatic),No,No,No,No,No,1,Yes,Yes,Female,Yes
1866-OBPNR,P3-High,79.7%,1,Month-to-month,74.6,74.6,Fiber optic,Credit card (automatic),No,No,Yes,No,No,0,Yes,Yes,Male,No
8325-QRPZR,P3-High,79.7%,7,Month-to-month,75.15,525.0,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,Yes
9436-ZBZCT,P3-High,79.7%,14,Month-to-month,89.95,1178.4,Fiber optic,Electronic check,No,Yes,No,Yes,No,0,No,No,Male,Yes
4283-FUTGF,P3-High,79.7%,19,Month-to-month,79.85,1471.75,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Male,Yes
9752-ZNQUT,P3-High,79.7%,1,Month-to-month,48.6,48.6,DSL,Electronic check,No,No,Yes,No,No,0,No,No,Female,Yes
6128-CZOMY,P3-High,79.6%,1,Month-to-month,45.65,45.65,DSL,Electronic check,No,No,No,No,No,0,No,No,Female,Yes
9490-DFPMD,P3-High,79.6%,42,Month-to-month,84.65,3541.35,Fiber optic,Electronic check,No,No,No,Yes,No,1,No,No,Female,Yes
9367-WXLCH,P3-High,79.6%,8,Month-to-month,84.5,662.65,Fiber optic,Bank transfer (automatic),No,No,No,No,Yes,0,No,No,Male,No
7495-OOKFY,P3-High,79.6%,8,Month-to-month,80.65,633.3,Fiber optic,Credit card (automatic),No,No,Yes,No,No,1,Yes,No,Female,Yes
9992-RRAMN,P3-High,79.6%,22,Month-to-month,85.1,1873.7,Fiber optic,Electronic check,No,No,No,No,Yes,0,Yes,No,Male,Yes
5949-XIKAE,P3-High,79.6%,8,Month-to-month,83.55,680.05,Fiber optic,Electronic check,No,No,Yes,Yes,No,0,Yes,Yes,Female,Yes
9874-QLCLH,P3-High,79.6%,17,Month-to-month,104.2,1743.5,Fiber optic,Electronic check,Yes,No,No,Yes,Yes,0,Yes,Yes,Female,Yes
9314-IJWSQ,P3-High,79.6%,14,Month-to-month,84.8,1203.9,Fiber optic,Electronic check,No,No,No,Yes,No,0,Yes,Yes,Female,Yes
5183-SNMJQ,P3-High,79.6%,10,Month-to-month,95.1,865.1,Fiber optic,Credit card (automatic),No,Yes,No,Yes,Yes,0,No,No,Male,Yes
6339-YPSAH,P3-High,79.6%,9,Month-to-month,73.8,704.3,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
